Date,Open,High,Low,Close,Volume,Change
2021-01-04,81000,84400,80200,83000,38655276,0.024691358024691468
2021-01-05,81600,83900,81600,83900,35335669,0.010843373493975905
2021-01-06,83300,84500,82100,82200,42089013,-0.020262216924910592
2021-01-07,82800,84200,82700,82900,32644642,0.008515815085158085
2021-01-08,83300,90000,83000,88800,59013307,0.07117008443908324
2021-01-11,90000,96800,89500,91000,90306177,0.024774774774774855
2021-01-12,90300,91400,87800,90600,48682416,-0.00439560439560438
2021-01-13,89800,91200,89100,89700,36068848,-0.009933774834437137
2021-01-14,88700,90000,88700,89700,26393970,0.0
2021-01-15,89800,91800,88000,88000,33431809,-0.018952062430323324
2021-01-18,86600,87300,84100,85000,43227951,-0.03409090909090906
2021-01-19,84500,88000,83600,87000,39895044,0.0235294117647058
2021-01-20,89000,89000,86500,87200,25211127,0.0022988505747125743
2021-01-21,87500,88600,86500,88100,25318011,0.010321100917431103
2021-01-22,89000,89700,86800,86800,30861661,-0.014755959137343955
2021-01-25,87000,89900,86300,89400,27258534,0.02995391705069128
2021-01-26,88800,89200,86500,86700,33178936,-0.030201342281879207
2021-01-27,86600,87700,85600,85600,26423070,-0.012687427912341454
2021-01-28,83200,85600,83200,83700,31859808,-0.02219626168224298
2021-01-29,84500,85000,82000,82000,39615978,-0.020310633213859064
2021-02-01,81700,83400,81000,83000,28046832,0.012195121951219523
2021-02-02,84100,86400,83700,84400,26302077,0.01686746987951815
2021-02-03,84800,85400,83400,84600,22112205,0.0023696682464455776
2021-02-04,83500,83800,82100,82500,24171688,-0.024822695035460973
2021-02-05,83100,84000,82500,83500,18036835,0.0121212121212122
2021-02-08,83800,84200,83000,83000,15338765,-0.005988023952095856
2021-02-09,84000,84800,82700,82700,20898332,-0.0036144578313253017
2021-02-10,82600,82600,81600,81600,23025766,-0.013301088270858519
2021-02-15,83800,84500,83300,84200,23529706,0.031862745098039325
2021-02-16,84500,86000,84200,84900,20483100,0.008313539192398967
2021-02-17,83900,84200,83000,83200,18307735,-0.020023557126030656
2021-02-18,83200,83600,82100,82100,21327683,-0.013221153846153855
2021-02-19,82300,82800,81000,82600,25880879,0.006090133982947554
2021-02-22,83800,84200,82200,82200,25419886,-0.004842615012106588
2021-02-23,81200,82900,81100,82000,20587314,-0.0024330900243308973
2021-02-24,81800,83600,81300,82000,26807651,0.0
2021-02-25,84000,85400,83000,85300,34155986,0.040243902439024426
2021-02-26,82800,83400,82000,82500,38520800,-0.03282532239155922
2021-03-02,85100,85300,83000,83600,33498180,0.01333333333333342
2021-03-03,83500,84000,82800,84000,19882132,0.004784688995215225
2021-03-04,82600,83200,82200,82400,24348331,-0.01904761904761909
2021-03-05,81100,82600,81100,82100,20508971,-0.00364077669902918
2021-03-08,82900,83000,81600,82000,17641256,-0.0012180267965895553
2021-03-09,81400,81900,80600,81400,25420764,-0.007317073170731714
2021-03-10,82400,82500,80700,80900,20038422,-0.00614250614250611
2021-03-11,81000,82500,81000,82000,23818297,0.013597033374536549
2021-03-12,83100,83500,82400,82800,13530573,0.009756097560975618
2021-03-15,82800,82900,81800,81800,13735798,-0.012077294685990392
2021-03-16,82200,83000,82100,82800,12293537,0.012224938875305513
2021-03-17,82800,82900,82000,82300,11625146,-0.006038647342995196
2021-03-18,82800,83800,82600,82900,18585244,0.007290400972053357
2021-03-19,82100,82500,81800,81900,15869700,-0.012062726176115812
